script,classification,evidence,reuse_or_action,reproduction_gap
audit_performer_portraits.py,未发现明显重复,AvatarCandidateCache与Gfriends索引及Pillow,保留身份和质量策略,候选导出与GUI入口
fetch_fc2_metadata.py,复现缺口,MozillaCookieJar及HTTPX已复用但仅CLI cookies,接入共用凭据和任务服务,GUI文件导入及网络与断点
fetch_jav_covers.py,内部重复,HostLimitedTransport重复主机节拍,Javinizer高清映射已复用并保留Range及候选策略,统一HostLimiter默认主机与预算
fetch_studio_avatar_candidates.py,内部重复,main自算monotonic节拍但unavatar及LogoCandidateCache已复用,复用RateLimiter且保留平台CDN与身份复核,公共服务可用性和确认handle
harvest_agency_rosters.py,内部重复,脚本自有Site重复共享RateLimiter而minnano_av已复用,复用RateLimiter且保留成员关系与重名复核,来源身份映射与GUI编排
harvest_directory_links.py,未发现明显重复,Site与social_links及站点名录策略,保留名录字段和匹配,PROXY_SOURCES需按用户配置
harvest_javdatabase_names.py,未发现明显重复,Site与番号到人物页链路,保留身份消歧,来源网络与缓存状态
harvest_javdb_cn_names.py,未发现明显重复,javdb与Site及OpenCC,保留现名和别名判据,网络冷却与GUI入口
harvest_mgstage_makers.py,未发现明显重复,Site和厂牌名录及复用图标判据,保留名录映射,网络与年龄门配置
harvest_performer_links.py,内部重复,run自算monotonic节拍而minnano_av与social_links已复用,复用RateLimiter且保留唯一重定向身份判据,统一缓存和GUI入口
harvest_social_avatars.py,外部复用缺口,Instagram仅链接且未登记成熟头像POC,优先验证Instaloader头像与会话接口,不能要求人工长期维护CDN直链
harvest_studio_icons.py,内部重复,Fetcher自行实现请求节拍重试内存缓存,共用有界下载及缓存而保留判形策略,全量响应上限与最高画质选择
harvest_studio_sites.py,生命周期缺口,HttpxTransport注入client后close不关闭client,修复调用方所有权再测池行为,断网和大量失败主机验证
localize_studio_names.py,未发现明显重复,Site与精确番号厂牌证据,保留规范名候选,网络选项与复核GUI
match_babepedia_creators.py,未发现明显重复,HttpxTransport与档案标题身份判据,保留别名变体和人工确认,网络错误与候选GUI
rediscover_entity_links.py,外部复用缺口,registrable把不同github.io租户判同站,验证含private suffix的PSL成熟实现,来源身份不可仅靠可注册域
scrape_codes.py,未发现明显重复,JavinizerGoProvider固定v1.5.1且逐来源JSON,保留字段候选及精确番号与健康,平台工具安装及统一来源配置
